br2_06_12_001.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_002.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_003.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_004.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_005.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_006.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_007.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_008.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_009.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_010.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_011.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_012.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_013.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_014.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_015.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_016.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_017.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_018.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_019.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_020.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_021.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_022.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_023.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_024.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_025.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_026.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_027.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_028.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_029.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_030.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_031.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_032.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_033.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_034.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_035.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_036.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_037.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_038.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_039.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_040.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_041.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_042.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_043.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_044.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_045.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_046.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_047.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_048.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_049.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_050.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_051.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_052.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_053.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_054.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_055.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_056.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_057.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_058.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_059.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_060.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_061.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_062.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_063.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_064.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_065.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_066.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_067.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_068.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_069.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_070.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_071.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_072.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_073.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_074.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_075.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_076.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_077.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_078.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_079.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_080.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_081.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_082.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_083.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_084.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_085.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_086.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_087.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_088.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_089.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_090.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_091.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_092.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_093.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_094.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_095.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_096.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_097.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_098.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_099.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_100.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_101.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_102.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_103.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_104.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_105.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_106.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_107.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_108.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_109.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_110.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_111.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
